"RMSE","Coverage","Interval length","n","run","Chains"
1.36477357147134,0.995,7.97005321410287,100,1,1
1.37019374704745,0.99,7.92248496631418,100,1,8
1.37741561680447,0.995,7.8843543790917,100,1,20
1.69688310885012,0.995,8.04583804546241,100,2,1
1.67304543514909,0.995,8.07947847347807,100,2,8
1.65180892438886,0.99,8.06396541201335,100,2,20
1.33576087052442,1,8.03177152533104,100,3,1
1.32279162754991,1,7.95601830470659,100,3,8
1.33950170764214,1,8.03563602906885,100,3,20
1.81004301969691,0.91,6.01507139266116,100,4,1
1.79088846974073,0.905,6.01056943505877,100,4,8
1.77605325840118,0.915,6.03126839379768,100,4,20
1.5167031089173,0.985,7.74942063890932,100,5,1
1.53655137969638,0.995,7.7152604290313,100,5,8
1.51355377733746,0.99,7.64184277707531,100,5,20
1.83700662132492,0.89,6.04457425489556,100,6,1
1.90174956704935,0.895,6.07076992419022,100,6,8
1.86778820373544,0.905,6.06665504733728,100,6,20
1.67147505396086,0.94,6.13237937299786,100,7,1
1.68302959473609,0.925,6.17690415996816,100,7,8
1.68675391592033,0.935,6.26314717697693,100,7,20
1.50017705605865,0.965,6.74287303605771,100,8,1
1.5189095844033,0.965,6.82330453304191,100,8,8
1.53566057829352,0.965,6.75211812576913,100,8,20
1.87978236536243,0.91,6.0032360687086,100,9,1
1.8320008794752,0.91,5.97049518103876,100,9,8
1.87943898862399,0.915,6.02569059710404,100,9,20
1.38334881125202,0.99,7.15679134829111,100,10,1
1.39704888557082,0.985,7.16131726432618,100,10,8
1.38528845376146,0.985,7.15265153301057,100,10,20
0.838822700837482,0.985,3.99805436310552,1000,1,1
0.845024847349285,0.975,4.17924284824202,1000,1,8
0.843380742983636,0.985,4.20572196712222,1000,1,20
0.729098152495227,0.995,4.22640272948653,1000,2,1
0.719829732086747,0.995,4.24101496177205,1000,2,8
0.708590224705755,1,4.24974156062285,1000,2,20
0.860893737771672,0.99,4.19830395909222,1000,3,1
0.878757531585938,0.98,4.1360362486591,1000,3,8
0.871191558373747,0.98,4.21048828028809,1000,3,20
0.765615848556311,0.99,3.99358392175915,1000,4,1
0.734969694668632,0.99,3.93319187076059,1000,4,8
0.743475519279813,0.995,3.99047195050799,1000,4,20
0.807154610311815,0.99,4.16566295354155,1000,5,1
0.833729536564413,0.975,4.17298495290071,1000,5,8
0.833680455424967,0.98,4.19442973764455,1000,5,20
0.799994951780896,0.98,4.02953038404914,1000,6,1
0.766900441379806,0.995,4.09573046560564,1000,6,8
0.765230621905051,0.99,4.10644955721371,1000,6,20
0.923419390394704,0.955,3.97389952165475,1000,7,1
0.888581556737058,0.975,3.97822343782627,1000,7,8
0.891232132063957,0.97,4.03597357977518,1000,7,20
0.820903821176784,0.98,3.94288151303638,1000,8,1
0.793454093052792,0.985,4.0205916544941,1000,8,8
0.796740173073314,0.995,4.06571167145469,1000,8,20
0.799943900727706,0.995,4.3015940727251,1000,9,1
0.742515430016625,0.995,4.38818342223222,1000,9,8
0.73314128902612,1,4.41457147564704,1000,9,20
0.731307221416106,0.995,4.21357513562481,1000,10,1
0.720111415971225,1,4.2382874267541,1000,10,8
0.709716209232563,0.995,4.32356572415671,1000,10,20
0.448358066710895,0.93,1.6811054341245,10000,1,1
0.426025349399524,0.97,1.77782861373901,10000,1,8
0.420667677343606,0.965,1.80123600568135,10000,1,20
0.493114911877808,0.885,1.66224620011248,10000,2,1
0.4546395020179,0.94,1.80835957964437,10000,2,8
0.449441623622749,0.955,1.83158922687833,10000,2,20
0.508214922703222,0.9,1.59454436381234,10000,3,1
0.471501075378574,0.935,1.73031424167178,10000,3,8
0.467141010283869,0.95,1.77360427329674,10000,3,20
0.421578846085821,0.9,1.57585315853952,10000,4,1
0.395850060955346,0.955,1.75433030862954,10000,4,8
0.370287214256175,0.975,1.78450062828684,10000,4,20
0.445660671519334,0.915,1.61451602132654,10000,5,1
0.409037729440681,0.955,1.72698418697165,10000,5,8
0.395403082092212,0.97,1.78781588532208,10000,5,20
0.417925126431373,0.925,1.53509203238863,10000,6,1
0.390682131882203,0.96,1.68025679335338,10000,6,8
0.378611039556845,0.97,1.71258497945357,10000,6,20
0.487271931542704,0.885,1.60162028116862,10000,7,1
0.468081859481276,0.92,1.73751321556876,10000,7,8
0.462933519115536,0.94,1.79054216147029,10000,7,20
0.450557507787764,0.945,1.71803110936698,10000,8,1
0.386030057570947,0.98,1.82704620834168,10000,8,8
0.396854443730153,0.985,1.84463745507188,10000,8,20
0.415757720427429,0.93,1.64208978472793,10000,9,1
0.409947793579318,0.97,1.73844870056821,10000,9,8
0.400835644338726,0.97,1.78079540424592,10000,9,20
0.44223942306805,0.93,1.68597959372919,10000,10,1
0.407356593130468,0.965,1.81729663908442,10000,10,8
0.411601331688034,0.965,1.82229849129753,10000,10,20
0.240939843521306,0.72,0.556268169452437,1e+05,1,1
0.201426580173337,0.92,0.788567602239983,1e+05,1,8
0.191785563711445,0.975,0.853820830821842,1e+05,1,20
0.250402181580067,0.725,0.578601191242794,1e+05,2,1
0.20099009058197,0.94,0.794232837028975,1e+05,2,8
0.19994126825581,0.965,0.856391779470816,1e+05,2,20
0.240834236589129,0.72,0.574300876055408,1e+05,3,1
0.188015058009062,0.935,0.773152153402393,1e+05,3,8
0.180942298243198,0.975,0.837629442401015,1e+05,3,20
0.267108409763717,0.69,0.562685652273165,1e+05,4,1
0.21870763645521,0.92,0.814950793985125,1e+05,4,8
0.203308724288288,0.98,0.876049288041806,1e+05,4,20
0.25858675568969,0.72,0.585461578164226,1e+05,5,1
0.207619915624013,0.94,0.821960638273381,1e+05,5,8
0.193923553708709,0.98,0.884064269596822,1e+05,5,20
0.25557031009384,0.69,0.537610766002754,1e+05,6,1
0.205414444598217,0.93,0.767194141644805,1e+05,6,8
0.193395734104288,0.94,0.826748673496032,1e+05,6,20
0.26420529425344,0.71,0.539999360043744,1e+05,7,1
0.197980030482005,0.93,0.789604843831891,1e+05,7,8
0.19263787592273,0.935,0.849572962652613,1e+05,7,20
0.280091179562063,0.645,0.591903772913783,1e+05,8,1
0.223516528653509,0.895,0.808222153863085,1e+05,8,8
0.213828352499977,0.955,0.858634800687151,1e+05,8,20
0.249800326424477,0.7,0.540507634511503,1e+05,9,1
0.208170209877628,0.92,0.773625678238216,1e+05,9,8
0.203637492675419,0.945,0.817852027915894,1e+05,9,20
0.226755419100318,0.715,0.543215015591122,1e+05,10,1
0.184506028817576,0.955,0.793890666127455,1e+05,10,8
0.174519574111099,0.975,0.855900420102851,1e+05,10,20
